wf,setup,variant,raw_selected,collapsed_signals,executed_trades,clear_purity,TRADEOFF_share,UNRESOLVED_share,NO_COMPARABLE_share,target_hit_rate,gross_expectancy_R,profit_factor_R,trades_per_day,LONG_trades,SHORT_trades
WF1,CONT,CLEAR85,1159,649,614,0.7899,0.184,0.0261,0.0,0.5065,-0.042,0.9199,6.0196,369,245
WF1,REV,CLEAR85,749,404,364,0.8654,0.0989,0.0357,0.0,0.6126,0.0435,1.1101,3.5686,225,139
WF1,CONT,CLEAR90,528,309,293,0.8259,0.1502,0.0239,0.0,0.5461,-0.0209,0.958,2.8725,174,119
WF1,REV,CLEAR90,547,302,267,0.9026,0.0749,0.0225,0.0,0.6367,0.0606,1.1668,2.6176,168,99
WF2,CONT,CLEAR85,1813,927,856,0.8037,0.16,0.0339,0.0023,0.5666,0.0253,1.0569,8.3922,434,422
WF2,REV,CLEAR85,1773,768,725,0.7862,0.1586,0.0483,0.0069,0.6207,0.0481,1.1255,7.1078,290,435
WF2,CONT,CLEAR90,881,458,429,0.8462,0.1119,0.0373,0.0047,0.5944,0.0627,1.1511,4.2059,229,200
WF2,REV,CLEAR90,1258,529,497,0.831,0.1046,0.0543,0.0101,0.674,0.0372,1.112,4.8725,175,322
WF3,CONT,CLEAR85,1720,895,848,0.7547,0.1792,0.066,0.0,0.5401,-0.0376,0.9229,8.396,302,546
WF3,REV,CLEAR85,1266,604,572,0.771,0.1469,0.0769,0.0052,0.6101,-0.0032,0.9921,5.6634,144,428
WF3,CONT,CLEAR90,898,514,489,0.8037,0.1391,0.0573,0.0,0.546,-0.0439,0.9073,4.8416,188,301
WF3,REV,CLEAR90,878,416,391,0.8286,0.0946,0.0691,0.0077,0.6573,0.0071,1.0205,3.8713,69,322
