wf,setup,frozen_class,n,share,target_hit_rate,mean_win_R,mean_loss_R,gross_expectancy_R
WF1,CLEAR85_CONT,LONG_DOMINATES,283,0.4609,0.6325,0.9486,-1.0893,0.1997
WF1,CLEAR85_CONT,SHORT_DOMINATES,202,0.329,0.604,0.874,-1.0963,0.0937
WF1,CLEAR85_CONT,TRADEOFF_OR_OVERLAP,113,0.184,0.0,,-1.0182,-1.0182
WF1,CLEAR85_CONT,UNRESOLVED_CENSOR,16,0.0261,0.625,1.9814,-1.0,0.8634
WF1,CLEAR85_CONT,NO_COMPARABLE_TARGET,0,0.0,,,,
WF1,CLEAR85_REV,LONG_DOMINATES,169,0.4643,0.7574,0.7104,-1.0699,0.2785
WF1,CLEAR85_REV,SHORT_DOMINATES,146,0.4011,0.5342,0.7205,-1.0,-0.0808
WF1,CLEAR85_REV,TRADEOFF_OR_OVERLAP,36,0.0989,0.1667,0.5048,-1.0,-0.7492
WF1,CLEAR85_REV,UNRESOLVED_CENSOR,13,0.0357,0.8462,0.8677,-1.0,0.5803
WF1,CLEAR85_REV,NO_COMPARABLE_TARGET,0,0.0,,,,
WF1,CLEAR90_CONT,LONG_DOMINATES,146,0.4983,0.637,0.839,-1.0951,0.1369
WF1,CLEAR90_CONT,SHORT_DOMINATES,96,0.3276,0.6458,0.7562,-1.2266,0.054
WF1,CLEAR90_CONT,TRADEOFF_OR_OVERLAP,44,0.1502,0.0,,-1.0,-1.0
WF1,CLEAR90_CONT,UNRESOLVED_CENSOR,7,0.0239,0.7143,2.9417,-1.0,1.8155
WF1,CLEAR90_CONT,NO_COMPARABLE_TARGET,0,0.0,,,,
WF1,CLEAR90_REV,LONG_DOMINATES,124,0.4644,0.7823,0.7008,-1.0,0.3305
WF1,CLEAR90_REV,SHORT_DOMINATES,117,0.4382,0.5214,0.6157,-1.0,-0.1576
WF1,CLEAR90_REV,TRADEOFF_OR_OVERLAP,20,0.0749,0.3,0.5048,-1.0,-0.5486
WF1,CLEAR90_REV,UNRESOLVED_CENSOR,6,0.0225,1.0,0.7686,,0.7686
WF1,CLEAR90_REV,NO_COMPARABLE_TARGET,0,0.0,,,,
WF2,CLEAR85_CONT,LONG_DOMINATES,341,0.3984,0.6686,0.8612,-1.0038,0.2432
WF2,CLEAR85_CONT,SHORT_DOMINATES,347,0.4054,0.6859,0.8114,-1.0797,0.2174
WF2,CLEAR85_CONT,TRADEOFF_OR_OVERLAP,137,0.16,0.0,,-1.0026,-1.0026
WF2,CLEAR85_CONT,UNRESOLVED_CENSOR,29,0.0339,0.5862,0.7055,-1.0,-0.0002
WF2,CLEAR85_CONT,NO_COMPARABLE_TARGET,2,0.0023,1.0,0.3226,,0.3226
WF2,CLEAR85_REV,LONG_DOMINATES,278,0.3834,0.6763,0.732,-1.0,0.1713
WF2,CLEAR85_REV,SHORT_DOMINATES,292,0.4028,0.7945,0.6591,-1.0512,0.3077
