feature,mean,median,p05,p95,missing_rate
room_up_atr,2.5747,1.9048,0.2632,6.9722,0.0101
room_down_atr,59.7398,44.1935,5.303,163.2603,0.027
field_width_atr,62.4372,46.7857,7.5556,166.6667,0.0371
field_position,0.9155,0.9605,0.6607,0.9957,0.0371
n_active_levels,194.9107,173.0,53.0,435.0,0.0
liq_intensity_up_0p5,0.3231,0.0377,0.0,1.5675,0.0
liq_intensity_up_1p0,0.8081,0.3324,0.0011,3.2537,0.0
liq_intensity_up_2p0,2.007,1.2727,0.0612,6.3938,0.0
liq_intensity_up_4p0,4.9065,3.7475,0.5483,12.9601,0.0
liq_intensity_dn_0p5,0.3108,0.0341,0.0,1.5039,0.0
liq_intensity_dn_1p0,0.7788,0.3112,0.0002,3.1358,0.0
liq_intensity_dn_2p0,1.8888,1.1941,0.0258,6.0376,0.0
liq_intensity_dn_4p0,4.3485,3.3421,0.3284,11.63,0.0
liq_imbalance_0p5,0.028,0.0775,-1.0,1.0,0.0
liq_imbalance_1p0,0.0283,0.0533,-0.993,0.9984,0.0
liq_imbalance_2p0,0.0365,0.0472,-0.9111,0.9603,0.0
liq_imbalance_4p0,0.0597,0.0624,-0.7163,0.8415,0.0
