feature,mean,median,p05,p95,missing_rate
cross_count,1.9132,1.0,0.0,6.0,0.0
boundary_occupancy,0.0332,0.0,0.0,0.1471,0.0
boundary_touch_bars,6.2376,5.0,0.0,17.0,0.0
total_variation_atr,14.3655,13.062,5.7674,27.0004,0.0008
net_move_atr,0.0324,-0.0641,-6.1111,6.4706,0.0
path_efficiency,0.1861,0.16,0.0154,0.4485,0.0017
amplitude_atr,4.791,3.8636,1.4773,11.0417,0.0
outward_mfe_atr,3.0814,2.25,-0.0943,8.9286,0.0
inward_mae_atr,-2.6682,-1.9388,-8.3752,0.6897,0.0
dc_pivots_0p10,14.9281,15.0,10.0,20.0,0.0
dc_pivots_0p20,12.64,13.0,7.0,18.0,0.0
dc_pivots_0p40,8.6536,9.0,3.0,14.0,0.0
dc_pivots_0p80,4.8286,4.0,1.0,9.0,0.0
dc_pivots_1p20,3.146,3.0,1.0,7.0,0.0
fp_out_0.25,1.8806,0.0,-1.0,14.0,0.0
fp_out_0.50,2.6395,0.0,-1.0,17.0,0.0
fp_out_1.00,3.8585,0.0,-1.0,22.0,0.0
fp_in_0.25,1.745,0.0,-1.0,14.0,0.0
fp_in_0.50,2.4213,0.0,-1.0,17.0,0.0
fp_in_1.00,3.8381,0.0,-1.0,22.0,0.0
persistent_escape,0.6465,1.0,0.0,1.0,0.0
post_escape_efficiency,0.2144,0.1765,0.0156,0.5402,0.3535
retracement_ratio,1.5401,0.7301,0.0,5.6667,0.3537
