concept,exists,n_hits,examples
5m bars,True,11,build_ob_candidate_universe_v3.py:81; download_v3r_5m.py:15; download_v3r_5m.py:16; download_v3r_5m.py:50
15m bars,True,1,build_pytdx_panel.py:105
1h bars,True,1,ob_trigger_snapshot.py:108
4h bars,True,1,build_ob_candidate_universe_v3.py:410
session / trading-day mapping,True,178,analyze_ob_candidate_v3_phase1_1.py:219; analyze_ob_candidate_v3_phase1_1.py:230; analyze_ob_candidate_v3_phase1_1.py:231; analyze_ob_candidate_v3_phase1_1.py:482
continuous-futures roll / discontinuity,True,12,build_rl_exit_trajectory_v1.py:57; build_rl_exit_trajectory_v1.py:107; m2_nondeep_temporal_v1.py:37; m2_nondeep_temporal_v1.py:89
confirmed swings / pivots,True,66,audit_ob_candidate_v3_posthoc.py:123; audit_ob_candidate_v3_posthoc.py:123; audit_ob_candidate_v3_posthoc.py:389; audit_ob_candidate_v3_posthoc.py:412
BOS,True,12,charting.py:165; charting.py:201; environment_atlas_spec.py:18; ob_rl_model_view_v0_spec.py:196
CHoCH / MSS,True,13,charting.py:165; charting.py:201; environment_atlas_spec.py:18; ob_rl_model_view_v0_spec.py:196
structure / trend direction,True,66,analyze_ob_candidate_v3_phase1.py:432; analyze_ob_candidate_v3_phase1.py:432; analyze_ob_candidate_v3_phase1.py:893; analyze_ob_candidate_v3_phase1.py:1016
DSA direction,True,69,analyze_ob_candidate_v3_phase1.py:432; analyze_ob_candidate_v3_phase1.py:905; analyze_ob_candidate_v3_phase1.py:1022; analyze_ob_candidate_v3_phase1_1.py:495
displacement,False,0,
FVG / imbalance,True,2,run_paper_a1_hf_predictability.py:1107; run_paper_a1_hf_predictability.py:1110
OB lifecycle,True,59,analyze_ob_candidate_v3_phase1.py:735; audit_ob_candidate_v3_posthoc.py:152; audit_ob_candidate_v3_posthoc.py:166; audit_ob_candidate_v3_posthoc.py:424
equal highs / lows,True,4,charting.py:327; ob_trigger_snapshot.py:403; ob_trigger_snapshot.py:422; ob_trigger_snapshot.py:820
previous day H/L,False,0,
previous session H/L,True,1,run_strategy_s2_session_transition.py:352
previous week H/L,False,0,
range / consolidation boundary,False,0,
