scope,wf,fold,train_max_reward_end,validation_start,n_before,n_after
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
inner,WF1,0,2025-02-14 09:15:00,2025-02-14 09:25:00,486,480
inner,WF1,1,2025-03-24 09:15:00,2025-03-24 09:25:00,1186,1184
inner,WF1,2,2025-05-06 09:00:00,2025-05-06 09:35:00,1844,1831
outer,WF1,-1,2025-06-11 09:15:00,2025-06-11 09:25:00,2609,2603
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
inner,WF2,0,2025-03-20 09:15:00,2025-03-20 09:25:00,1144,1129
inner,WF2,1,2025-06-05 09:15:00,2025-06-05 09:40:00,2453,2446
inner,WF2,2,2025-08-16 02:10:00,2025-08-18 09:50:00,4029,4029
outer,WF2,-1,2025-11-06 00:45:00,2025-11-06 00:50:00,5769,5754
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
inner,WF3,0,2025-04-28 09:50:00,2025-04-28 10:05:00,1794,1784
inner,WF3,1,2025-08-19 00:45:00,2025-08-19 09:05:00,4084,4062
inner,WF3,2,2025-12-13 00:40:00,2025-12-15 09:35:00,6620,6596
outer,WF3,-1,2026-04-13 09:10:00,2026-04-13 09:15:00,8616,8608
