semantic_key,symbol,gid,direction_system,direction,evaluation_horizon,direction_correct,first_ahead_sr_touch_step,first_ahead_sr_cross_step,first_touch_accepted_breakout,r_touch_close,mfe_at_first_ahead_sr,tp_signal_step,tp_signal_time,tp_executable,tp_fill_step,tp_fill_time,tp_fill_open,tp_reason,baseline_gross_return_atr,tp_gross_return_atr,paired_delta_gross_atr,frozen_ahead_sr_bottom,frozen_ahead_sr_top,frozen_ahead_sr_strength,ahead_liq_available,ahead_liq_touched_by_signal,ahead_liq_crossed_by_signal
AG::AG_LONG_13019::2026-06-30 21:30:00::2026-06-30 21:30:00,AG,AG::AG_LONG_13019,A9,LONG,td1,1,2,3,False,1.7285411567528624,2.167684045225211,2,2026-06-30 22:15:00,True,3,2026-06-30 22:15:00,14570.0009765625,tp_executed,-3.2795564649743496,1.7472280881772178,5.026784553151567,14463.0009765625,14621.0009765625,43.0,True,False,False
AG::AG_LONG_13019::2026-06-30 21:45:00::2026-06-30 21:45:00,AG,AG::AG_LONG_13019,A9,LONG,td1,1,1,2,False,1.6183873595492742,2.0580648502938743,1,2026-06-30 22:15:00,True,2,2026-06-30 22:15:00,14570.0009765625,tp_executed,-3.395807002984893,1.637097040006491,5.032904042991384,14463.0009765625,14621.0009765625,43.0,True,False,False
AG::AG_LONG_13019::2026-06-30 22:00:00::2026-06-30 22:00:00,AG,AG::AG_LONG_13019,A9,LONG,td1,1,0,1,False,1.2931391732367201,1.7335561380347333,0,2026-06-30 22:15:00,True,1,2026-06-30 22:15:00,14570.0009765625,tp_executed,-3.7294883402044534,1.3118803206749334,5.041368660879387,14463.0009765625,14621.0009765625,43.0,True,False,False
AG::AG_LONG_13110::2026-07-03 01:45:00::2026-07-03 01:45:00,AG,AG::AG_LONG_13110,A9,LONG,td1,1,0,3,False,0.12778009442119584,0.40299875932838686,0,2026-07-03 02:00:00,True,1,2026-07-03 02:00:00,14796.0009765625,tp_executed,4.639400351292649,0.11795085638879615,-4.5214494949038535,14817.0009765625,14890.0009765625,57.0,False,False,False
AG::AG_LONG_13110::2026-07-03 02:00:00::2026-07-03 02:00:00,AG,AG::AG_LONG_13110,A9,LONG,td1,1,0,2,False,0.30554334633157687,0.6110866926631537,0,2026-07-03 02:15:00,True,1,2026-07-03 02:15:00,14827.0009765625,tp_executed,4.533869010081463,0.30554334633157687,-4.228325663749886,14817.0009765625,14890.0009765625,57.0,False,False,False
AG::AG_LONG_13275::2026-07-09 21:30:00::2026-07-09 21:30:00,AG,AG::AG_LONG_13275,A9,LONG,td1,1,2,-1,False,0.6770536955053478,1.7557494137681053,2,2026-07-09 22:15:00,True,3,2026-07-09 22:15:00,14683.0009765625,tp_executed,0.3442645909349226,0.654102722776353,0.30983813184143033,14747.0009765625,14775.0009765625,70.0,False,False,False
AG::AG_LONG_13397::2026-07-14 10:15:00::2026-07-14 10:30:00,AG,AG::AG_LONG_13397,A9,SHORT,td1,0,0,2,False,0.5083789141537626,0.6447732569755037,0,2026-07-14 10:45:00,True,1,2026-07-14 10:45:00,14030.0009765625,tp_executed,-1.7979254281047699,0.5207783998648299,2.3187038279695997,14002.0009765625,14066.0009765625,46.0,False,False,False
AG::AG_LONG_13516::2026-07-20 09:30:00::2026-07-20 09:30:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,1,3,False,0.683117133535445,0.8893411738480322,1,2026-07-20 10:00:00,True,2,2026-07-20 10:00:00,13802.0009765625,tp_executed,0.0902230176367569,0.7217841410940552,0.6315611234572983,13784.0009765625,13855.0009765625,66.0,False,False,False
AG::AG_LONG_13516::2026-07-20 14:00:00::2026-07-20 14:00:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,0,-1,False,0.2830477434755394,0.6561561326023868,0,2026-07-20 14:15:00,True,1,2026-07-20 14:15:00,13786.0009765625,tp_executed,-0.11579225869453885,0.30877935651877025,0.4245716152133091,13784.0009765625,13855.0009765625,69.0,False,False,False
AG::AG_LONG_13516::2026-07-21 14:00:00::2026-07-21 14:00:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,0,3,False,1.441561616826406,1.7721950151810864,0,2026-07-21 14:15:00,True,1,2026-07-21 14:15:00,14313.0009765625,tp_executed,2.8434472258502503,1.4283362808922189,-1.4151109449580315,14305.0009765625,14378.0009765625,83.0,False,False,False
AG::AG_LONG_13516::2026-07-21 14:15:00::2026-07-21 14:15:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,2,-1,False,1.4096682509757192,1.804902340034332,2,2026-07-21 15:00:00,False,-1,,,beyond_baseline_exit,1.4096682509757192,1.4096682509757192,0.0,14398.0009765625,14458.0009765625,69.0,False,False,False
AG::AG_LONG_13516::2026-07-21 14:30:00::2026-07-21 14:30:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,1,-1,False,1.0545066316776122,1.4499466185567167,1,2026-07-21 15:00:00,False,-1,,,beyond_baseline_exit,1.0545066316776122,1.0545066316776122,0.0,14398.0009765625,14458.0009765625,69.0,False,False,False
AG::AG_LONG_13516::2026-07-21 14:45:00::2026-07-21 14:45:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,0,-1,False,0.5672782985286265,0.9630538556416218,0,2026-07-21 15:00:00,False,-1,,,beyond_baseline_exit,0.5672782985286265,0.5672782985286265,0.0,14398.0009765625,14458.0009765625,69.0,False,False,False
AG::AG_LONG_13516::2026-07-21 21:45:00::2026-07-21 21:45:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,0,1,False,0.36828308623190337,0.5129657272515796,0,2026-07-21 22:00:00,True,1,2026-07-21 22:00:00,14305.0009765625,tp_executed,3.3540066781834055,0.38143605359732846,-2.9725706245860772,14305.0009765625,14378.0009765625,83.0,False,False,False
AG::AG_LONG_13516::2026-07-21 22:15:00::2026-07-21 22:15:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,0,17,False,0.44743428715123124,0.6711514307268469,0,2026-07-21 22:30:00,True,1,2026-07-21 22:30:00,14425.0009765625,tp_executed,1.8292166445300335,0.434274455176195,-1.3949421893538385,14398.0009765625,14458.0009765625,69.0,False,False,False
AG::AG_LONG_13516::2026-07-22 01:45:00::2026-07-22 01:45:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,1,3,False,0.16213996818536638,0.3107682723552856,1,2026-07-22 02:15:00,True,2,2026-07-22 02:15:00,14400.0009765625,tp_executed,1.9186562901935023,0.14862830416991918,-1.770027986023583,14398.0009765625,14458.0009765625,69.0,False,False,False
AG::AG_LONG_13516::2026-07-22 02:00:00::2026-07-22 02:00:00,AG,AG::AG_LONG_13516,A9,LONG,td1,1,0,2,False,0.10853332614569088,0.2577666495960158,0,2026-07-22 02:15:00,True,1,2026-07-22 02:15:00,14400.0009765625,tp_executed,1.8721998760131675,0.09496666037747951,-1.777233215635688,14398.0009765625,14472.0009765625,106.0,False,False,False
AG::AG_LONG_13633::2026-07-22 15:00:00::2026-07-22 21:00:00,AG,AG::AG_LONG_13633,A9,LONG,td1,1,0,2,False,1.0860359026710944,1.1810628841574824,0,2026-07-22 21:15:00,True,1,2026-07-22 21:15:00,14563.0009765625,tp_executed,1.8055259053537474,1.1131864688100623,-0.692339436543685,14566.0009765625,14590.0009765625,51.0,False,False,False
AG::AG_LONG_13699::2026-07-24 11:15:00::2026-07-24 11:15:00,AG,AG::AG_LONG_13699,A9,SHORT,td1,0,0,-1,False,0.6046472603673068,0.6183892435574728,0,2026-07-24 11:30:00,True,1,2026-07-24 13:30:00,14060.0009765625,tp_executed,-1.2230365039247797,0.06870991595083031,1.2917464198756101,13983.0009765625,14032.0009765625,90.0,False,False,False
AG::AG_LONG_13699::2026-07-24 21:30:00::2026-07-24 21:30:00,AG,AG::AG_LONG_13699,A9,LONG,td1,1,4,20,False,1.915956181599316,2.729203769472407,4,2026-07-24 22:45:00,True,5,2026-07-24 22:45:00,14333.0009765625,tp_executed,5.031107958875902,1.9297400390208939,-3.101367919855008,14375.0009765625,14452.0009765625,107.0,True,False,False
AG::AG_LONG_13699::2026-07-24 21:45:00::2026-07-24 21:45:00,AG,AG::AG_LONG_13699,A9,LONG,td1,1,3,19,False,1.8072483078657195,2.6211998358357764,3,2026-07-24 22:45:00,True,4,2026-07-24 22:45:00,14333.0009765625,tp_executed,4.925096533649327,1.8210440964753816,-3.1040524371739457,14375.0009765625,14452.0009765625,100.0,True,False,False
AG::AG_LONG_13699::2026-07-24 22:00:00::2026-07-24 22:00:00,AG,AG::AG_LONG_13699,A9,LONG,td1,1,2,18,False,0.44011384994067665,1.2515737607687991,2,2026-07-24 22:45:00,True,3,2026-07-24 22:45:00,14333.0009765625,tp_executed,3.5484179151467052,0.4538674077513228,-3.0945505073953825,14375.0009765625,14452.0009765625,100.0,True,False,False
AG::AG_LONG_13699::2026-07-24 22:15:00::2026-07-24 22:15:00,AG,AG::AG_LONG_13699,A9,LONG,td1,1,1,17,False,0.6191531550859466,1.430931736198632,1,2026-07-24 22:45:00,True,2,2026-07-24 22:45:00,14333.0009765625,tp_executed,3.728677889517589,0.6329121140878565,-3.0957657754297325,14375.0009765625,14452.0009765625,100.0,True,False,False
AG::AG_LONG_13699::2026-07-24 23:00:00::2026-07-24 23:00:00,AG,AG::AG_LONG_13699,A9,LONG,td1,1,0,14,False,0.9908627757309125,1.1697685546823273,0,2026-07-24 23:15:00,True,1,2026-07-24 23:15:00,14410.0009765625,tp_executed,3.0276362591777883,0.9908627757309125,-2.0367734834468756,14375.0009765625,14452.0009765625,100.0,True,False,False
AG::AG_LONG_13699::2026-07-25 01:15:00::2026-07-25 01:15:00,AG,AG::AG_LONG_13699,A9,LONG,td1,1,0,5,False,0.5442677081627623,0.5861344549445132,0,2026-07-25 01:30:00,True,1,2026-07-25 01:30:00,14395.0009765625,tp_executed,2.8329831988984804,0.558223290423346,-2.2747599084751347,14375.0009765625,14452.0009765625,100.0,True,False,False
AG::AG_LONG_13776::2026-07-28 23:15:00::2026-07-28 23:15:00,AG,AG::AG_LONG_13776,A9,SHORT,td1,0,0,13,False,0.20126806913405046,0.23002065043891481,0,2026-07-28 23:30:00,True,1,2026-07-28 23:30:00,14020.0009765625,tp_executed,-3.364052012669129,0.20126806913405046,3.565320081803179,13983.0009765625,14032.0009765625,99.0,False,False,False
AG::AG_LONG_13776::2026-07-28 23:45:00::2026-07-28 23:45:00,AG,AG::AG_LONG_13776,A9,SHORT,td1,0,4,11,False,0.04331869030488892,0.3609890858740743,4,2026-07-29 01:00:00,True,5,2026-07-29 01:00:00,14046.0009765625,tp_executed,-3.162264392256891,0.04331869030488892,3.20558308256178,13983.0009765625,14032.0009765625,99.0,False,False,False
AG::AG_LONG_13776::2026-07-29 00:00:00::2026-07-29 00:00:00,AG,AG::AG_LONG_13776,A9,SHORT,td1,0,3,10,False,0.3475344578508698,0.6661077108808338,3,2026-07-29 01:00:00,True,4,2026-07-29 01:00:00,14046.0009765625,tp_executed,-2.8671592772696757,0.3475344578508698,3.2146937351205453,13983.0009765625,14032.0009765625,99.0,False,False,False
AG::AG_LONG_13776::2026-07-29 01:30:00::2026-07-29 01:30:00,AG,AG::AG_LONG_13776,A9,SHORT,td1,0,0,4,False,0.6309302935172956,0.7042942811355858,0,2026-07-29 01:45:00,True,1,2026-07-29 01:45:00,14009.0009765625,tp_executed,-3.169324265110136,0.6309302935172956,3.8002545586274317,13983.0009765625,14032.0009765625,102.0,False,False,False
AG::AG_LONG_13822::2026-07-29 23:30:00::2026-07-29 23:30:00,AG,AG::AG_LONG_13822,A9,SHORT,td1,0,2,-1,False,0.4403114300445058,0.4403114300445058,2,2026-07-30 00:15:00,True,3,2026-07-30 00:15:00,13986.0009765625,tp_executed,-0.2348327626904031,0.4403114300445058,0.6751441927349089,13962.0009765625,13988.0009765625,77.0,True,False,False
AG::AG_LONG_13822::2026-07-29 23:45:00::2026-07-29 23:45:00,AG,AG::AG_LONG_13822,A9,SHORT,td1,0,1,-1,False,0.5300515247402094,0.5300515247402094,1,2026-07-30 00:15:00,True,2,2026-07-30 00:15:00,13986.0009765625,tp_executed,-0.1472365346500582,0.5300515247402094,0.6772880593902677,13962.0009765625,13988.0009765625,77.0,True,False,False
AG::AG_LONG_13822::2026-07-30 00:00:00::2026-07-30 00:00:00,AG,AG::AG_LONG_13822,A9,SHORT,td1,0,0,-1,False,0.39841615746939074,0.39841615746939074,0,2026-07-30 00:15:00,True,1,2026-07-30 00:15:00,13986.0009765625,tp_executed,-0.2803669256266083,0.39841615746939074,0.6787830830959991,13962.0009765625,13988.0009765625,77.0,True,False,False
AG::AG_LONG_13895::2026-07-31 23:15:00::2026-07-31 23:15:00,AG,AG::AG_LONG_13895,A9,SHORT,td1,0,0,-1,False,0.38027941956078104,0.468036208690192,0,2026-07-31 23:30:00,True,1,2026-07-31 23:30:00,14031.0009765625,tp_executed,-2.3548071749725286,0.38027941956078104,2.7350865945333096,13988.0009765625,14032.0009765625,108.0,True,False,False
AG::AG_LONG_13895::2026-08-01 00:00:00::2026-08-01 00:00:00,AG,AG::AG_LONG_13895,A9,SHORT,td1,0,0,-1,False,0.22043808314608512,0.36739680524347523,0,2026-08-01 00:15:00,True,1,2026-08-01 00:15:00,14039.0009765625,tp_executed,-2.3954271701874585,0.23513395535582415,2.6305611255432826,13988.0009765625,14032.0009765625,108.0,True,False,False
AG::AG_LONG_13895::2026-08-01 01:45:00::2026-08-01 01:45:00,AG,AG::AG_LONG_13895,A9,LONG,td1,1,15,-1,False,1.9083801578134794,2.758205696839794,15,2026-08-03 14:30:00,True,16,2026-08-03 14:30:00,14273.0009765625,tp_executed,1.0883730587529998,1.9083801578134794,0.8200070990604795,14269.0009765625,14307.0009765625,61.0,True,False,False
AG::AG_LONG_13895::2026-08-01 02:00:00::2026-08-01 02:00:00,AG,AG::AG_LONG_13895,A9,LONG,td1,1,14,-1,False,1.5380657740869355,2.389228386931162,14,2026-08-03 14:30:00,True,15,2026-08-03 14:30:00,14273.0009765625,tp_executed,0.7167685160793485,1.5380657740869355,0.8212972580075869,14269.0009765625,14307.0009765625,61.0,True,False,False
AG::AG_LONG_13931::2026-08-03 23:15:00::2026-08-03 23:15:00,AG,AG::AG_LONG_13931,A9,SHORT,td1,0,0,-1,False,0.37082486310788926,0.4598228302537827,0,2026-08-03 23:30:00,True,1,2026-08-03 23:30:00,13966.0009765625,tp_executed,-5.681036902812863,0.3559918685835737,6.037028771396437,13946.0009765625,13988.0009765625,128.0,False,False,False
AG::AG_LONG_13931::2026-08-04 01:15:00::2026-08-04 01:15:00,AG,AG::AG_LONG_13931,A9,LONG,td1,1,0,1,False,0.27074451925393017,0.6317372115925037,0,2026-08-04 01:30:00,True,1,2026-08-04 01:30:00,14088.0009765625,tp_executed,4.557532740774491,0.27074451925393017,-4.286788221520561,14089.0009765625,14118.0009765625,63.0,True,False,False
AG::AG_LONG_13931::2026-08-04 01:45:00::2026-08-04 01:45:00,AG,AG::AG_LONG_13931,A9,LONG,td1,1,5,8,False,3.0946143332351133,3.6078674421619126,5,2026-08-04 09:45:00,True,6,2026-08-04 09:45:00,14329.0009765625,tp_executed,3.7739199185794066,3.109710012909431,-0.6642099056699755,14307.0009765625,14330.0009765625,89.0,True,False,False
AG::AG_LONG_13931::2026-08-04 02:15:00::2026-08-04 02:15:00,AG,AG::AG_LONG_13931,A9,LONG,td1,1,3,6,False,2.901297677790006,3.41506914156532,3,2026-08-04 09:45:00,True,4,2026-08-04 09:45:00,14329.0009765625,tp_executed,3.5812893210220387,2.9164086031951624,-0.6648807178268763,14307.0009765625,14330.0009765625,89.0,True,False,False
AG::AG_LONG_13931::2026-08-04 02:30:00::2026-08-04 09:00:00,AG,AG::AG_LONG_13931,A9,LONG,td1,1,2,5,False,1.9409703176799957,2.4565405583137445,2,2026-08-04 09:45:00,True,3,2026-08-04 09:45:00,14329.0009765625,tp_executed,2.6233426949893692,1.9561341482868706,-0.6672085467024986,14307.0009765625,14330.0009765625,89.0,True,False,False
AG::AG_LONG_13965::2026-08-05 00:45:00::2026-08-05 00:45:00,AG,AG::AG_LONG_13965,A9,LONG,td1,1,1,12,False,0.6783782231435685,0.8325550920398341,1,2026-08-05 01:15:00,True,2,2026-08-05 01:15:00,14636.0009765625,tp_executed,7.92469106126805,0.6937959100331951,-7.230895151234855,14637.0009765625,14674.0009765625,46.0,True,True,False
AG::AG_LONG_14257::2026-08-14 21:30:00::2026-08-14 21:30:00,AG,AG::AG_LONG_14257,A9,LONG,td1,1,21,-1,False,3.005940359571333,4.166373149545382,21,2026-08-17 09:30:00,True,22,2026-08-17 09:30:00,16133.0009765625,tp_executed,3.159732657037773,3.0199214775228276,-0.13981117951494548,16164.0009765625,16248.0009765625,51.0,False,False,False
AG::AG_LONG_14257::2026-08-14 21:45:00::2026-08-14 21:45:00,AG,AG::AG_LONG_14257,A9,LONG,td1,1,20,-1,False,2.166092830884713,3.326000604842333,20,2026-08-17 09:30:00,True,21,2026-08-17 09:30:00,16133.0009765625,tp_executed,2.319815547915241,2.1800676233420333,-0.13974792457320762,16164.0009765625,16248.0009765625,51.0,False,False,False
AG::AG_LONG_14257::2026-08-14 22:00:00::2026-08-14 22:00:00,AG,AG::AG_LONG_14257,A9,LONG,td1,1,19,-1,False,2.3091576940491474,3.4707339886314457,19,2026-08-17 09:30:00,True,20,2026-08-17 09:30:00,16133.0009765625,tp_executed,2.4631015403190903,2.3231525891645965,-0.1399489511544938,16164.0009765625,16248.0009765625,51.0,False,False,False
AG::AG_LONG_14257::2026-08-14 23:15:00::2026-08-14 23:15:00,AG,AG::AG_LONG_14257,A9,LONG,td1,1,14,-1,False,2.357304673794131,3.5219254352519456,14,2026-08-17 09:30:00,True,15,2026-08-17 09:30:00,16133.0009765625,tp_executed,2.5116520036258896,2.371336249233382,-0.14031575439250776,16164.0009765625,16248.0009765625,51.0,False,False,False
AG::AG_LONG_14257::2026-08-14 23:30:00::2026-08-14 23:30:00,AG,AG::AG_LONG_14257,A9,LONG,td1,1,13,-1,False,2.9741239043889687,4.138521470729932,13,2026-08-17 09:30:00,True,14,2026-08-17 09:30:00,16133.0009765625,tp_executed,3.128441654145,2.988152790730426,-0.14028886341457403,16164.0009765625,16248.0009765625,51.0,False,False,False
AG::AG_LONG_14257::2026-08-14 23:45:00::2026-08-14 23:45:00,AG,AG::AG_LONG_14257,A9,LONG,td1,1,12,-1,False,2.982970833533024,4.1508320560954814,12,2026-08-17 09:30:00,True,13,2026-08-17 09:30:00,16133.0009765625,tp_executed,3.1377476220653975,2.9970414506723304,-0.14070617139306707,16164.0009765625,16248.0009765625,51.0,False,False,False
