block,wf_a,wf_b,k,component_a,component_b,abs_cosine,max_principal_angle_deg,mean_principal_angle_deg
liquidity,WF1,WF2,3,1,1,0.9996202098233904,59.05637020321157,20.249720447802336
liquidity,WF1,WF2,3,2,2,0.999565593356958,59.05637020321157,20.249720447802336
liquidity,WF1,WF2,3,3,3,0.5140122545523867,59.05637020321157,20.249720447802336
liquidity,WF1,WF2,3,0,0,0.8377326859109117,59.05637020321157,20.249720447802336
liquidity,WF1,WF3,3,1,1,0.9945298495389577,57.189321666989244,19.690423876874146
liquidity,WF1,WF3,3,2,2,0.9949744399534299,57.189321666989244,19.690423876874146
liquidity,WF1,WF3,3,3,3,0.5418718071377653,57.189321666989244,19.690423876874146
liquidity,WF1,WF3,3,0,0,0.8437920322100508,57.189321666989244,19.690423876874146
liquidity,WF2,WF3,3,1,1,0.9965667807559412,4.40375203034215,1.6055001016917148
liquidity,WF2,WF3,3,2,2,0.9964557286547427,4.40375203034215,1.6055001016917148
liquidity,WF2,WF3,3,3,3,0.997044436097027,4.40375203034215,1.6055001016917148
liquidity,WF2,WF3,3,0,0,0.9966889818359036,4.40375203034215,1.6055001016917148
