block,wf_a,wf_b,k,component_a,component_b,abs_cosine,max_principal_angle_deg,mean_principal_angle_deg
reaction,WF1,WF2,3,1,1,0.99882151087836,4.9571662779641885,2.2216115340718416
reaction,WF1,WF2,3,2,2,0.9946928438855734,4.9571662779641885,2.2216115340718416
reaction,WF1,WF2,3,3,3,0.9947620383942797,4.9571662779641885,2.2216115340718416
reaction,WF1,WF2,3,0,0,0.9960921310527379,4.9571662779641885,2.2216115340718416
reaction,WF1,WF3,3,1,1,0.9971701526952801,4.820840719964161,2.5183804489408788
reaction,WF1,WF3,3,2,2,0.9900178527283252,4.820840719964161,2.5183804489408788
reaction,WF1,WF3,3,3,3,0.9915603294673188,4.820840719964161,2.5183804489408788
reaction,WF1,WF3,3,0,0,0.9929161116303081,4.820840719964161,2.5183804489408788
reaction,WF2,WF3,3,1,1,0.9995718642766915,1.487978994722651,0.7804572749390931
reaction,WF2,WF3,3,2,2,0.9992128145256388,1.487978994722651,0.7804572749390931
reaction,WF2,WF3,3,3,3,0.9989185270568947,1.487978994722651,0.7804572749390931
reaction,WF2,WF3,3,0,0,0.9992344019530751,1.487978994722651,0.7804572749390931
