datetime,datetime_ns,symbol,timeframe,open,high,low,close,volume,open_oi,close_oi,contract,adj_factor
2025-12-03 10:00:00,1764727200000000000,KQ.m@SHFE.ag,1h,13625.24,13748.45,13620.28,13738.51,125657.0,483378.0,491717.0,SHFE.ag2602,0.9936005
2025-12-03 11:00:00,1764730800000000000,KQ.m@SHFE.ag,1h,13738.51,13777.26,13693.8,13765.34,68191.0,491717.0,491514.0,SHFE.ag2602,0.9936005
2025-12-03 13:00:00,1764738000000000000,KQ.m@SHFE.ag,1h,13722.62,13722.62,13413.61,13498.06,342974.0,491514.0,474173.0,SHFE.ag2602,0.9936005
2025-12-03 14:00:00,1764741600000000000,KQ.m@SHFE.ag,1h,13498.06,13580.53,13455.34,13495.08,221391.0,474173.0,458527.0,SHFE.ag2602,0.9936005
2025-12-03 21:00:00,1764766800000000000,KQ.m@SHFE.ag,1h,13605.37,13725.6,13602.39,13718.64,333458.0,458527.0,477704.0,SHFE.ag2602,0.9936005
2025-12-03 22:00:00,1764770400000000000,KQ.m@SHFE.ag,1h,13718.64,13737.52,13483.16,13564.63,514634.0,477704.0,482548.0,SHFE.ag2602,0.9936005
2025-12-03 23:00:00,1764774000000000000,KQ.m@SHFE.ag,1h,13564.63,13645.12,13545.76,13585.5,176470.0,482548.0,479242.0,SHFE.ag2602,0.9936005
2025-12-04 00:00:00,1764777600000000000,KQ.m@SHFE.ag,1h,13585.5,13665.98,13454.34,13521.91,189524.0,479242.0,478856.0,SHFE.ag2602,0.9936005
2025-12-04 01:00:00,1764781200000000000,KQ.m@SHFE.ag,1h,13521.91,13602.39,13512.97,13562.65,124489.0,478856.0,472223.0,SHFE.ag2602,0.9936005
2025-12-04 02:00:00,1764784800000000000,KQ.m@SHFE.ag,1h,13562.65,13568.61,13502.04,13512.97,44370.0,472223.0,468953.0,SHFE.ag2602,0.9936005
2025-12-04 09:00:00,1764810000000000000,KQ.m@SHFE.ag,1h,13557.68,13676.91,13532.84,13631.21,156586.0,468953.0,471605.0,SHFE.ag2602,0.9936005
2025-12-04 10:00:00,1764813600000000000,KQ.m@SHFE.ag,1h,13631.21,13654.06,13546.75,13554.7,114835.0,471605.0,465816.0,SHFE.ag2602,0.9936005
2025-12-04 11:00:00,1764817200000000000,KQ.m@SHFE.ag,1h,13554.7,13568.61,13505.02,13520.92,85825.0,465816.0,464878.0,SHFE.ag2602,0.9936005
2025-12-04 13:00:00,1764824400000000000,KQ.m@SHFE.ag,1h,13527.87,13543.77,13286.43,13368.89,237991.0,464878.0,460265.0,SHFE.ag2602,0.9936005
2025-12-04 14:00:00,1764828000000000000,KQ.m@SHFE.ag,1h,13368.89,13408.64,13236.75,13338.09,302705.0,460265.0,452403.0,SHFE.ag2602,0.9936005
2025-12-04 21:00:00,1764853200000000000,KQ.m@SHFE.ag,1h,13290.4,13340.08,13237.74,13311.27,268899.0,452403.0,463431.0,SHFE.ag2602,0.9936005
2025-12-04 22:00:00,1764856800000000000,KQ.m@SHFE.ag,1h,13311.27,13408.64,13185.08,13211.91,380726.0,463431.0,463438.0,SHFE.ag2602,0.9936005
2025-12-04 23:00:00,1764860400000000000,KQ.m@SHFE.ag,1h,13211.91,13266.55,13147.32,13235.75,227810.0,463438.0,455295.0,SHFE.ag2602,0.9936005
2025-12-05 00:00:00,1764864000000000000,KQ.m@SHFE.ag,1h,13235.75,13299.34,13229.79,13285.43,111543.0,455295.0,451980.0,SHFE.ag2602,0.9936005
2025-12-05 01:00:00,1764867600000000000,KQ.m@SHFE.ag,1h,13285.43,13310.27,13252.64,13290.4,54285.0,451980.0,450099.0,SHFE.ag2602,0.9936005
2025-12-05 02:00:00,1764871200000000000,KQ.m@SHFE.ag,1h,13290.4,13295.37,13239.73,13280.46,30138.0,450099.0,447682.0,SHFE.ag2602,0.9936005
2025-12-05 09:00:00,1764896400000000000,KQ.m@SHFE.ag,1h,13256.62,13340.08,13233.77,13326.17,113533.0,447682.0,447982.0,SHFE.ag2602,0.9936005
2025-12-05 10:00:00,1764900000000000000,KQ.m@SHFE.ag,1h,13326.17,13436.46,13302.32,13435.47,111830.0,447982.0,450049.0,SHFE.ag2602,0.9936005
2025-12-05 11:00:00,1764903600000000000,KQ.m@SHFE.ag,1h,13435.47,13469.25,13388.77,13397.71,69155.0,450049.0,448381.0,SHFE.ag2602,0.9936005
2025-12-05 13:00:00,1764910800000000000,KQ.m@SHFE.ag,1h,13463.29,13572.58,13463.29,13572.58,122907.0,448381.0,454508.0,SHFE.ag2602,0.9936005
2025-12-05 14:00:00,1764914400000000000,KQ.m@SHFE.ag,1h,13572.58,13662.01,13557.68,13599.41,213388.0,454508.0,452319.0,SHFE.ag2602,0.9936005
2025-12-05 21:00:00,1764939600000000000,KQ.m@SHFE.ag,1h,13581.53,13626.24,13485.15,13582.52,299874.0,452319.0,457141.0,SHFE.ag2602,0.9936005
