datetime,datetime_ns,symbol,timeframe,open,high,low,close,volume,open_oi,close_oi,contract,adj_factor
2026-03-05 12:00:00,1772683200000000000,KQ.m@SHFE.ag,4h,21754.69,21774.57,20609.82,21505.25,106518.0,142647.0,143059.0,SHFE.ag2604,0.99381886
2026-03-05 20:00:00,1772712000000000000,KQ.m@SHFE.ag,4h,21565.87,21628.48,20937.78,21213.06,147183.0,143059.0,139163.0,SHFE.ag2604,0.99381886
2026-03-06 00:00:00,1772726400000000000,KQ.m@SHFE.ag,4h,21213.06,21251.82,20980.51,21173.31,43866.0,139163.0,136687.0,SHFE.ag2604,0.99381886
2026-03-06 08:00:00,1772755200000000000,KQ.m@SHFE.ag,4h,21236.92,21744.76,21058.03,21665.25,77839.0,136687.0,135585.0,SHFE.ag2604,0.99381886
2026-03-06 12:00:00,1772769600000000000,KQ.m@SHFE.ag,4h,21635.44,21648.36,21384.0,21605.62,36929.0,135585.0,133508.0,SHFE.ag2604,0.99381886
2026-03-06 20:00:00,1772798400000000000,KQ.m@SHFE.ag,4h,21182.2,21769.17,20871.15,21635.72,251638.0,133508.0,190357.0,SHFE.ag2606,1.00337259
2026-03-07 00:00:00,1772812800000000000,KQ.m@SHFE.ag,4h,21635.72,21808.3,21499.26,21765.16,70415.0,190357.0,189669.0,SHFE.ag2606,1.00337259
2026-03-09 08:00:00,1773014400000000000,KQ.m@SHFE.ag,4h,21040.72,21512.31,20413.62,21393.91,207811.0,189669.0,187963.0,SHFE.ag2606,1.00337259
2026-03-09 12:00:00,1773028800000000000,KQ.m@SHFE.ag,4h,21459.13,21923.69,21406.95,21619.67,89781.0,187963.0,189060.0,SHFE.ag2606,1.00337259
2026-03-09 20:00:00,1773057600000000000,KQ.m@SHFE.ag,4h,21622.68,22022.02,21481.2,21786.23,184995.0,189060.0,194310.0,SHFE.ag2606,1.00337259
2026-03-10 00:00:00,1773072000000000000,KQ.m@SHFE.ag,4h,21786.23,21900.61,21673.85,21811.31,53951.0,194310.0,193135.0,SHFE.ag2606,1.00337259
2026-03-10 08:00:00,1773100800000000000,KQ.m@SHFE.ag,4h,22218.68,23077.57,22209.65,22734.42,184532.0,193135.0,200277.0,SHFE.ag2606,1.00337259
2026-03-10 12:00:00,1773115200000000000,KQ.m@SHFE.ag,4h,22751.47,22903.99,22727.39,22834.75,47562.0,200277.0,200036.0,SHFE.ag2606,1.00337259
2026-03-10 20:00:00,1773144000000000000,KQ.m@SHFE.ag,4h,22756.49,23025.39,22636.09,22889.94,157544.0,200036.0,206328.0,SHFE.ag2606,1.00337259
2026-03-11 00:00:00,1773158400000000000,KQ.m@SHFE.ag,4h,22889.94,22962.18,22296.95,22612.0,68027.0,206328.0,204200.0,SHFE.ag2606,1.00337259
2026-03-11 08:00:00,1773187200000000000,KQ.m@SHFE.ag,4h,22873.88,22905.99,22447.45,22629.06,95006.0,204200.0,203131.0,SHFE.ag2606,1.00337259
2026-03-11 12:00:00,1773201600000000000,KQ.m@SHFE.ag,4h,22538.76,22555.82,22280.89,22331.06,74406.0,203131.0,204352.0,SHFE.ag2606,1.00337259
2026-03-11 20:00:00,1773230400000000000,KQ.m@SHFE.ag,4h,21844.42,22094.26,21627.7,21833.39,189253.0,204352.0,210689.0,SHFE.ag2606,1.00337259
