datetime,datetime_ns,symbol,timeframe,open,high,low,close,volume,open_oi,close_oi,contract,adj_factor
2025-10-15 21:45:00,1760535900000000000,KQ.m@SHFE.ag,15m,11664.38,11672.23,11623.18,11643.78,61308.0,489506.0,491076.0,SHFE.ag2512,0.98085936
2025-10-15 22:00:00,1760536800000000000,KQ.m@SHFE.ag,15m,11643.78,11755.6,11639.86,11716.37,100347.0,491076.0,489103.0,SHFE.ag2512,0.98085936
2025-10-15 22:15:00,1760537700000000000,KQ.m@SHFE.ag,15m,11716.37,11737.94,11692.82,11722.25,51693.0,489103.0,490074.0,SHFE.ag2512,0.98085936
2025-10-15 22:30:00,1760538600000000000,KQ.m@SHFE.ag,15m,11722.25,11730.1,11677.13,11703.61,49354.0,490074.0,491582.0,SHFE.ag2512,0.98085936
2025-10-15 22:45:00,1760539500000000000,KQ.m@SHFE.ag,15m,11703.61,11732.06,11664.38,11689.88,53764.0,491582.0,490563.0,SHFE.ag2512,0.98085936
2025-10-15 23:00:00,1760540400000000000,KQ.m@SHFE.ag,15m,11689.88,11717.35,11671.25,11714.4,47253.0,490563.0,490821.0,SHFE.ag2512,0.98085936
2025-10-15 23:15:00,1760541300000000000,KQ.m@SHFE.ag,15m,11714.4,11752.66,11714.4,11739.91,57188.0,490821.0,492883.0,SHFE.ag2512,0.98085936
2025-10-15 23:30:00,1760542200000000000,KQ.m@SHFE.ag,15m,11739.91,11741.87,11683.02,11729.12,57807.0,492883.0,492885.0,SHFE.ag2512,0.98085936
2025-10-15 23:45:00,1760543100000000000,KQ.m@SHFE.ag,15m,11729.12,11736.96,11665.36,11685.96,60514.0,492885.0,491961.0,SHFE.ag2512,0.98085936
2025-10-16 00:00:00,1760544000000000000,KQ.m@SHFE.ag,15m,11685.96,11719.31,11684.0,11700.67,30941.0,491961.0,492731.0,SHFE.ag2512,0.98085936
2025-10-16 00:15:00,1760544900000000000,KQ.m@SHFE.ag,15m,11700.67,11733.04,11700.67,11728.14,24204.0,492731.0,491546.0,SHFE.ag2512,0.98085936
2025-10-16 00:30:00,1760545800000000000,KQ.m@SHFE.ag,15m,11728.14,11735.0,11704.59,11713.42,19148.0,491546.0,492068.0,SHFE.ag2512,0.98085936
2025-10-16 00:45:00,1760546700000000000,KQ.m@SHFE.ag,15m,11713.42,11739.91,11701.65,11734.02,18595.0,492068.0,491815.0,SHFE.ag2512,0.98085936
2025-10-16 01:00:00,1760547600000000000,KQ.m@SHFE.ag,15m,11734.02,11738.92,11682.03,11691.84,27195.0,491815.0,493151.0,SHFE.ag2512,0.98085936
