wf,setup,bucket,n,share,target_hit_rate,mean_win_R,mean_loss_R,payoff,gross_expectancy_R
WF1,CONT,<0.50,150,0.2443,0.7533,0.2986,-1.0,0.2986,-0.0217
WF1,CONT,0.50-0.75,109,0.1775,0.6422,0.6163,-1.0356,0.5951,0.0252
WF1,CONT,0.75-1.00,76,0.1238,0.5263,0.8684,-1.0,0.8684,-0.0166
WF1,CONT,1.00-1.50,89,0.145,0.3933,1.2312,-1.0185,1.2088,-0.1338
WF1,CONT,>=1.50,190,0.3094,0.2789,2.6702,-1.1216,2.3808,-0.0639
WF1,REV,<0.50,127,0.3489,0.7638,0.2937,-1.0,0.2937,-0.0119
WF1,REV,0.50-0.75,75,0.206,0.6533,0.6137,-1.0,0.6137,0.0543
WF1,REV,0.75-1.00,49,0.1346,0.5714,0.8587,-1.0,0.8587,0.0621
WF1,REV,1.00-1.50,53,0.1456,0.566,1.1511,-1.0,1.1511,0.2176
WF1,REV,>=1.50,60,0.1648,0.3167,2.2407,-1.0699,2.0943,-0.0215
WF2,CONT,<0.50,258,0.3014,0.7403,0.307,-1.0078,0.3046,-0.0345
WF2,CONT,0.50-0.75,170,0.1986,0.6706,0.6218,-1.0015,0.6208,0.087
WF2,CONT,0.75-1.00,110,0.1285,0.6364,0.8632,-1.0079,0.8564,0.1828
WF2,CONT,1.00-1.50,105,0.1227,0.4286,1.2331,-1.0877,1.1337,-0.0931
WF2,CONT,>=1.50,213,0.2488,0.3052,2.4107,-1.0222,2.3583,0.0254
WF2,REV,<0.50,250,0.3448,0.744,0.3042,-1.0,0.3042,-0.0297
WF2,REV,0.50-0.75,167,0.2303,0.6946,0.5974,-1.0603,0.5634,0.0912
WF2,REV,0.75-1.00,111,0.1531,0.5225,0.858,-1.0,0.858,-0.0292
WF2,REV,1.00-1.50,140,0.1931,0.4286,1.209,-1.0,1.209,-0.0533
WF2,REV,>=1.50,57,0.0786,0.5263,2.1595,-1.0,2.1595,0.6629
WF3,CONT,<0.50,239,0.2818,0.7573,0.2959,-1.1158,0.2652,-0.042
WF3,CONT,0.50-0.75,183,0.2158,0.6448,0.6447,-1.1004,0.5858,0.0248
WF3,CONT,0.75-1.00,119,0.1403,0.4874,0.8837,-1.1173,0.791,-0.142
WF3,CONT,1.00-1.50,88,0.1038,0.5,1.1712,-1.0199,1.1483,0.0756
WF3,CONT,>=1.50,219,0.2583,0.2603,2.6307,-1.0255,2.5653,-0.0739
WF3,REV,<0.50,195,0.3409,0.7641,0.3038,-1.0,0.3038,-0.0038
WF3,REV,0.50-0.75,120,0.2098,0.65,0.6274,-1.0,0.6274,0.0578
WF3,REV,0.75-1.00,109,0.1906,0.4954,0.8624,-1.1342,0.7603,-0.1451
WF3,REV,1.00-1.50,118,0.2063,0.4576,1.1709,-1.0057,1.1643,-0.0096
WF3,REV,>=1.50,30,0.0524,0.4667,1.7861,-1.0045,1.7781,0.2978
