wf,model,variant,frozen_class,n,share,target_hit_rate,gross_expectancy_R
WF1,BASELINE,baseline,LONG_DOMINATES,283,0.4609,0.6325,0.1997
WF1,BASELINE,baseline,SHORT_DOMINATES,202,0.329,0.604,0.0937
WF1,BASELINE,baseline,TRADEOFF_OR_OVERLAP,113,0.184,0.0,-1.0182
WF1,BASELINE,baseline,UNRESOLVED_CENSOR,16,0.0261,0.625,0.8634
WF1,BASELINE,baseline,NO_COMPARABLE_TARGET,0,0.0,,
WF2,BASELINE,baseline,LONG_DOMINATES,341,0.3984,0.6686,0.2432
WF2,BASELINE,baseline,SHORT_DOMINATES,347,0.4054,0.6859,0.2174
WF2,BASELINE,baseline,TRADEOFF_OR_OVERLAP,137,0.16,0.0,-1.0026
WF2,BASELINE,baseline,UNRESOLVED_CENSOR,29,0.0339,0.5862,-0.0002
WF2,BASELINE,baseline,NO_COMPARABLE_TARGET,2,0.0023,1.0,0.3226
WF3,BASELINE,baseline,LONG_DOMINATES,271,0.3196,0.5351,0.0405
WF3,BASELINE,baseline,SHORT_DOMINATES,369,0.4351,0.7669,0.3189
WF3,BASELINE,baseline,TRADEOFF_OR_OVERLAP,152,0.1792,0.0,-1.0518
WF3,BASELINE,baseline,UNRESOLVED_CENSOR,56,0.066,0.5357,-0.0126
WF3,BASELINE,baseline,NO_COMPARABLE_TARGET,0,0.0,,
WF1,T0_LOGIT,post_veto,LONG_DOMINATES,283,0.4609,0.6325,0.1997
WF1,T0_LOGIT,post_veto,SHORT_DOMINATES,202,0.329,0.604,0.0937
WF1,T0_LOGIT,post_veto,TRADEOFF_OR_OVERLAP,113,0.184,0.0,-1.0182
WF1,T0_LOGIT,post_veto,UNRESOLVED_CENSOR,16,0.0261,0.625,0.8634
WF1,T0_LOGIT,post_veto,NO_COMPARABLE_TARGET,0,0.0,,
WF1,T0_HGB,post_veto,LONG_DOMINATES,277,0.4601,0.639,0.2171
WF1,T0_HGB,post_veto,SHORT_DOMINATES,199,0.3306,0.608,0.0997
WF1,T0_HGB,post_veto,TRADEOFF_OR_OVERLAP,110,0.1827,0.0,-1.0187
WF1,T0_HGB,post_veto,UNRESOLVED_CENSOR,16,0.0266,0.625,0.8634
WF1,T0_HGB,post_veto,NO_COMPARABLE_TARGET,0,0.0,,
WF2,T0_LOGIT,post_veto,LONG_DOMINATES,341,0.3984,0.6686,0.2432
WF2,T0_LOGIT,post_veto,SHORT_DOMINATES,347,0.4054,0.6859,0.2174
WF2,T0_LOGIT,post_veto,TRADEOFF_OR_OVERLAP,137,0.16,0.0,-1.0026
WF2,T0_LOGIT,post_veto,UNRESOLVED_CENSOR,29,0.0339,0.5862,-0.0002
WF2,T0_LOGIT,post_veto,NO_COMPARABLE_TARGET,2,0.0023,1.0,0.3226
WF2,T0_HGB,post_veto,LONG_DOMINATES,341,0.3984,0.6686,0.2432
WF2,T0_HGB,post_veto,SHORT_DOMINATES,347,0.4054,0.6859,0.2174
WF2,T0_HGB,post_veto,TRADEOFF_OR_OVERLAP,137,0.16,0.0,-1.0026
WF2,T0_HGB,post_veto,UNRESOLVED_CENSOR,29,0.0339,0.5862,-0.0002
WF2,T0_HGB,post_veto,NO_COMPARABLE_TARGET,2,0.0023,1.0,0.3226
WF3,T0_LOGIT,post_veto,LONG_DOMINATES,270,0.3214,0.537,0.0443
WF3,T0_LOGIT,post_veto,SHORT_DOMINATES,364,0.4333,0.7665,0.3173
WF3,T0_LOGIT,post_veto,TRADEOFF_OR_OVERLAP,150,0.1786,0.0,-1.0525
WF3,T0_LOGIT,post_veto,UNRESOLVED_CENSOR,56,0.0667,0.5357,-0.0126
WF3,T0_LOGIT,post_veto,NO_COMPARABLE_TARGET,0,0.0,,
WF3,T0_HGB,post_veto,LONG_DOMINATES,266,0.3228,0.5338,0.0378
WF3,T0_HGB,post_veto,SHORT_DOMINATES,355,0.4308,0.769,0.3242
WF3,T0_HGB,post_veto,TRADEOFF_OR_OVERLAP,149,0.1808,0.0,-1.0528
WF3,T0_HGB,post_veto,UNRESOLVED_CENSOR,54,0.0655,0.5556,0.024
WF3,T0_HGB,post_veto,NO_COMPARABLE_TARGET,0,0.0,,
WF1,T1_HGB,post_veto,LONG_DOMINATES,281,0.4622,0.637,0.2089
WF1,T1_HGB,post_veto,SHORT_DOMINATES,200,0.3289,0.605,0.0896
WF1,T1_HGB,post_veto,TRADEOFF_OR_OVERLAP,112,0.1842,0.0,-1.0184
WF1,T1_HGB,post_veto,UNRESOLVED_CENSOR,15,0.0247,0.6,0.7444
WF1,T1_HGB,post_veto,NO_COMPARABLE_TARGET,0,0.0,,
WF2,T1_HGB,post_veto,LONG_DOMINATES,341,0.3984,0.6686,0.2432
WF2,T1_HGB,post_veto,SHORT_DOMINATES,347,0.4054,0.6859,0.2174
WF2,T1_HGB,post_veto,TRADEOFF_OR_OVERLAP,137,0.16,0.0,-1.0026
WF2,T1_HGB,post_veto,UNRESOLVED_CENSOR,29,0.0339,0.5862,-0.0002
WF2,T1_HGB,post_veto,NO_COMPARABLE_TARGET,2,0.0023,1.0,0.3226
WF3,T1_HGB,post_veto,LONG_DOMINATES,267,0.3186,0.5356,0.0435
WF3,T1_HGB,post_veto,SHORT_DOMINATES,364,0.4344,0.7692,0.3172
WF3,T1_HGB,post_veto,TRADEOFF_OR_OVERLAP,151,0.1802,0.0,-1.0521
WF3,T1_HGB,post_veto,UNRESOLVED_CENSOR,56,0.0668,0.5357,-0.0126
WF3,T1_HGB,post_veto,NO_COMPARABLE_TARGET,0,0.0,,
