datetime,datetime_ns,symbol,timeframe,open,high,low,close,volume,open_oi,close_oi
2026-03-31 00:25:00,1774887900000000000,KQ.m@SHFE.sn,5m,368370.0,368370.0,367630.0,368140.0,1750.0,41298.0,41265.0
2026-03-31 00:30:00,1774888200000000000,KQ.m@SHFE.sn,5m,368140.0,368720.0,368090.0,368320.0,1302.0,41265.0,41166.0
2026-03-31 00:35:00,1774888500000000000,KQ.m@SHFE.sn,5m,368320.0,368840.0,368320.0,368630.0,765.0,41166.0,41103.0
2026-03-31 00:40:00,1774888800000000000,KQ.m@SHFE.sn,5m,368630.0,369300.0,368630.0,368780.0,1059.0,41103.0,40986.0
2026-03-31 00:45:00,1774889100000000000,KQ.m@SHFE.sn,5m,368780.0,368950.0,368460.0,368780.0,726.0,40986.0,40909.0
2026-03-31 00:50:00,1774889400000000000,KQ.m@SHFE.sn,5m,368780.0,368880.0,368500.0,368830.0,583.0,40909.0,40837.0
2026-03-31 00:55:00,1774889700000000000,KQ.m@SHFE.sn,5m,368830.0,368870.0,368510.0,368650.0,1075.0,40837.0,40344.0
2026-03-31 09:00:00,1774918800000000000,KQ.m@SHFE.sn,5m,369390.0,370480.0,367110.0,367750.0,6119.0,40344.0,40673.0
2026-03-31 09:05:00,1774919100000000000,KQ.m@SHFE.sn,5m,367750.0,368430.0,367330.0,368350.0,3301.0,40673.0,40792.0
2026-03-31 09:10:00,1774919400000000000,KQ.m@SHFE.sn,5m,368350.0,368880.0,368000.0,368870.0,2094.0,40792.0,40837.0
2026-03-31 09:15:00,1774919700000000000,KQ.m@SHFE.sn,5m,368870.0,369980.0,368750.0,369790.0,3166.0,40837.0,40964.0
2026-03-31 09:20:00,1774920000000000000,KQ.m@SHFE.sn,5m,369790.0,372240.0,369620.0,371880.0,5543.0,40964.0,41324.0
2026-03-31 09:25:00,1774920300000000000,KQ.m@SHFE.sn,5m,371880.0,372930.0,370800.0,371720.0,4422.0,41324.0,41314.0
2026-03-31 09:30:00,1774920600000000000,KQ.m@SHFE.sn,5m,371720.0,373000.0,371310.0,371650.0,4643.0,41314.0,41245.0
2026-03-31 09:35:00,1774920900000000000,KQ.m@SHFE.sn,5m,371650.0,373110.0,371650.0,371980.0,3732.0,41245.0,41352.0
2026-03-31 09:40:00,1774921200000000000,KQ.m@SHFE.sn,5m,371980.0,373220.0,371970.0,372610.0,3136.0,41352.0,41501.0
2026-03-31 09:45:00,1774921500000000000,KQ.m@SHFE.sn,5m,372610.0,372640.0,369540.0,370120.0,4785.0,41501.0,41006.0
2026-03-31 09:50:00,1774921800000000000,KQ.m@SHFE.sn,5m,370120.0,371700.0,369830.0,371050.0,2756.0,41006.0,40873.0
2026-03-31 09:55:00,1774922100000000000,KQ.m@SHFE.sn,5m,371050.0,371210.0,370070.0,370820.0,1814.0,40873.0,40882.0
2026-03-31 10:00:00,1774922400000000000,KQ.m@SHFE.sn,5m,370820.0,370840.0,369550.0,369970.0,2234.0,40882.0,40928.0
2026-03-31 10:05:00,1774922700000000000,KQ.m@SHFE.sn,5m,369970.0,371550.0,369710.0,370920.0,2208.0,40928.0,40853.0
2026-03-31 10:10:00,1774923000000000000,KQ.m@SHFE.sn,5m,370920.0,371350.0,370400.0,370400.0,1216.0,40853.0,40789.0
2026-03-31 10:30:00,1774924200000000000,KQ.m@SHFE.sn,5m,370280.0,370490.0,367820.0,368120.0,4324.0,40789.0,40722.0
2026-03-31 10:35:00,1774924500000000000,KQ.m@SHFE.sn,5m,368120.0,368120.0,365230.0,367170.0,6013.0,40722.0,40249.0
