group,value,n,reversal_rate,continuation_rate,LONG_rate,SHORT_rate,symbol_count,macro_median_reversal
liquidity_scopexcontact_type,15m|GAP_CROSS,344,0.5,0.5,0.4913,0.5087,15,0.5
liquidity_scopexcontact_type,15m|PENETRATE_CLOSE_BEYOND,990,0.3828,0.6172,0.4848,0.5152,15,0.4
liquidity_scopexcontact_type,15m|PENETRATE_RECLAIM,704,0.375,0.625,0.483,0.517,15,0.37209302325581395
liquidity_scopexcontact_type,15m|TOUCH_ONLY,607,0.3344,0.6656,0.5058,0.4942,15,0.3387096774193548
liquidity_scopexcontact_type,1h|PENETRATE_CLOSE_BEYOND,233,0.3476,0.6524,0.5622,0.4378,15,0.3333333333333333
liquidity_scopexcontact_type,5m|GAP_CROSS,1134,0.4912,0.5088,0.4921,0.5079,15,0.48936170212765956
liquidity_scopexcontact_type,5m|PENETRATE_CLOSE_AT,662,0.4668,0.5332,0.4562,0.5438,15,0.4666666666666667
liquidity_scopexcontact_type,5m|PENETRATE_CLOSE_BEYOND,3312,0.397,0.603,0.4906,0.5094,15,0.38953488372093026
liquidity_scopexcontact_type,5m|PENETRATE_RECLAIM,2371,0.4137,0.5863,0.4741,0.5259,15,0.40540540540540543
liquidity_scopexcontact_type,5m|TOUCH_ONLY,2754,0.3453,0.6547,0.4855,0.5145,15,0.3293172690763052
liquidity_scopexcontact_type,CONTIG_SESSION|GAP_CROSS,6722,0.4374,0.5626,0.4836,0.5164,15,0.44490644490644493
liquidity_scopexcontact_type,CONTIG_SESSION|PENETRATE_CLOSE_AT,2766,0.4331,0.5669,0.4805,0.5195,15,0.42735042735042733
liquidity_scopexcontact_type,CONTIG_SESSION|PENETRATE_CLOSE_BEYOND,11291,0.4081,0.5919,0.4993,0.5007,15,0.4090909090909091
liquidity_scopexcontact_type,CONTIG_SESSION|PENETRATE_RECLAIM,8409,0.4274,0.5726,0.486,0.514,15,0.42857142857142855
liquidity_scopexcontact_type,CONTIG_SESSION|TOUCH_ONLY,11423,0.3616,0.6384,0.4952,0.5048,15,0.3333333333333333
liquidity_scopexcontact_type,TRADING_DAY|GAP_CROSS,1376,0.4331,0.5669,0.4833,0.5167,15,0.4307692307692308
liquidity_scopexcontact_type,TRADING_DAY|PENETRATE_CLOSE_AT,578,0.4689,0.5311,0.4533,0.5467,14,0.46980255516840885
liquidity_scopexcontact_type,TRADING_DAY|PENETRATE_CLOSE_BEYOND,2933,0.4027,0.5973,0.5029,0.4971,15,0.3870967741935484
liquidity_scopexcontact_type,TRADING_DAY|PENETRATE_RECLAIM,2002,0.4116,0.5884,0.475,0.525,15,0.4074074074074074
liquidity_scopexcontact_type,TRADING_DAY|TOUCH_ONLY,2188,0.3501,0.6499,0.4922,0.5078,15,0.3333333333333333
liquidity_scopexcontact_type,TRADING_WEEK|GAP_CROSS,213,0.4695,0.5305,0.5493,0.4507,15,0.4444444444444444
liquidity_scopexcontact_type,TRADING_WEEK|PENETRATE_CLOSE_BEYOND,542,0.4004,0.5996,0.5314,0.4686,15,0.391304347826087
liquidity_scopexcontact_type,TRADING_WEEK|PENETRATE_RECLAIM,383,0.4099,0.5901,0.4595,0.5405,15,0.4
liquidity_scopexcontact_type,TRADING_WEEK|TOUCH_ONLY,343,0.3265,0.6735,0.4781,0.5219,13,0.32
liquidity_scopexis_first_contact,15m|False,518,0.3784,0.6216,0.471,0.529,15,0.3684210526315789
liquidity_scopexis_first_contact,15m|True,2294,0.391,0.609,0.4908,0.5092,15,0.3821656050955414
liquidity_scopexis_first_contact,1h|True,566,0.3763,0.6237,0.5018,0.4982,15,0.38235294117647056
liquidity_scopexis_first_contact,5m|False,2440,0.3906,0.6094,0.4668,0.5332,15,0.3850746268656716
liquidity_scopexis_first_contact,5m|True,7793,0.4055,0.5945,0.4885,0.5115,15,0.4026186579378069
liquidity_scopexis_first_contact,CONTIG_SESSION|False,10207,0.4103,0.5897,0.483,0.517,15,0.4132029339853301
liquidity_scopexis_first_contact,CONTIG_SESSION|True,30404,0.404,0.596,0.4944,0.5056,15,0.3986615678776291
liquidity_scopexis_first_contact,TRADING_DAY|False,1925,0.3995,0.6005,0.4753,0.5247,15,0.38181818181818183
liquidity_scopexis_first_contact,TRADING_DAY|True,7152,0.4011,0.5989,0.4915,0.5085,15,0.40325865580448067
liquidity_scopexis_first_contact,TRADING_WEEK|False,286,0.3566,0.6434,0.4685,0.5315,13,0.31666666666666665
liquidity_scopexis_first_contact,TRADING_WEEK|True,1306,0.4081,0.5919,0.5092,0.4908,15,0.4
contact_cluster_scope_countxcontact_type,1|GAP_CROSS,5758,0.4255,0.5745,0.4856,0.5144,15,0.4336917562724014
contact_cluster_scope_countxcontact_type,1|PENETRATE_CLOSE_AT,1993,0.4109,0.5891,0.4912,0.5088,15,0.4117647058823529
contact_cluster_scope_countxcontact_type,1|PENETRATE_CLOSE_BEYOND,7775,0.3985,0.6015,0.5044,0.4956,15,0.4025695931477516
contact_cluster_scope_countxcontact_type,1|PENETRATE_RECLAIM,5971,0.4341,0.5659,0.4914,0.5086,15,0.4282051282051282
contact_cluster_scope_countxcontact_type,1|TOUCH_ONLY,8355,0.3574,0.6426,0.4935,0.5065,15,0.32653061224489793
contact_cluster_scope_countxcontact_type,2|GAP_CROSS,1961,0.4539,0.5461,0.4625,0.5375,15,0.46017699115044247
contact_cluster_scope_countxcontact_type,2|PENETRATE_CLOSE_AT,947,0.4583,0.5417,0.4393,0.5607,15,0.48366013071895425
contact_cluster_scope_countxcontact_type,2|PENETRATE_CLOSE_BEYOND,4143,0.419,0.581,0.4856,0.5144,15,0.419811320754717
contact_cluster_scope_countxcontact_type,2|PENETRATE_RECLAIM,3093,0.4316,0.5684,0.4733,0.5267,15,0.4292929292929293
contact_cluster_scope_countxcontact_type,2|TOUCH_ONLY,4047,0.3729,0.6271,0.4954,0.5046,15,0.3465346534653465
contact_cluster_scope_countxcontact_type,3|GAP_CROSS,1064,0.4897,0.5103,0.4887,0.5113,15,0.5
contact_cluster_scope_countxcontact_type,3|PENETRATE_CLOSE_AT,656,0.4893,0.5107,0.5061,0.4939,15,0.46153846153846156
contact_cluster_scope_countxcontact_type,3|PENETRATE_CLOSE_BEYOND,3309,0.4322,0.5678,0.502,0.498,15,0.4429223744292237
contact_cluster_scope_countxcontact_type,3|PENETRATE_RECLAIM,2312,0.4183,0.5817,0.4671,0.5329,15,0.43023255813953487
contact_cluster_scope_countxcontact_type,3|TOUCH_ONLY,2741,0.351,0.649,0.4925,0.5075,15,0.2727272727272727
contact_cluster_scope_countxcontact_type,4|GAP_CROSS,455,0.5011,0.4989,0.5363,0.4637,15,0.5384615384615384
contact_cluster_scope_countxcontact_type,4|PENETRATE_CLOSE_AT,339,0.4425,0.5575,0.3628,0.6372,11,0.4
contact_cluster_scope_countxcontact_type,4|PENETRATE_CLOSE_BEYOND,2093,0.3574,0.6426,0.4912,0.5088,15,0.3557692307692308
contact_cluster_scope_countxcontact_type,4|PENETRATE_RECLAIM,1292,0.356,0.644,0.4861,0.5139,15,0.3442622950819672
contact_cluster_scope_countxcontact_type,4|TOUCH_ONLY,1104,0.3234,0.6766,0.4873,0.5127,15,0.32342007434944237
contact_cluster_scope_countxcontact_type,5|GAP_CROSS,381,0.5066,0.4934,0.5538,0.4462,15,0.45454545454545453
contact_cluster_scope_countxcontact_type,5|PENETRATE_CLOSE_AT,233,0.5365,0.4635,0.4378,0.5622,10,0.45
contact_cluster_scope_countxcontact_type,5|PENETRATE_CLOSE_BEYOND,1290,0.4016,0.5984,0.469,0.531,15,0.3979591836734694
contact_cluster_scope_countxcontact_type,5|PENETRATE_RECLAIM,805,0.4447,0.5553,0.5006,0.4994,15,0.375
contact_cluster_scope_countxcontact_type,5|TOUCH_ONLY,672,0.3065,0.6935,0.5104,0.4896,13,0.3125
contact_cluster_scope_countxcontact_type,6|GAP_CROSS,260,0.5038,0.4962,0.4846,0.5154,12,0.5
contact_cluster_scope_countxcontact_type,6|PENETRATE_CLOSE_BEYOND,691,0.3632,0.6368,0.5919,0.4081,15,0.41935483870967744
contact_cluster_scope_countxcontact_type,6|PENETRATE_RECLAIM,582,0.2921,0.7079,0.4364,0.5636,15,0.265625
contact_cluster_scope_countxcontact_type,6|TOUCH_ONLY,532,0.3496,0.6504,0.4586,0.5414,12,0.3241456582633053
