wf,action,structure_scale,base_h,later_h,matched_n,median_delta_entry_atr,median_delta_target_distance_atr,median_delta_risk_distance_atr,median_delta_RR,target_first_base,target_first_later,delta_target_first,E_R_lower_base,E_R_lower_later,delta_E_R_lower,E_R_upper_base,E_R_upper_later,delta_E_R_upper
WF1,OUTWARD,0.2,2,3,20182,0.0,0.0,0.0,0.20634920634920634,0.24105638687939748,0.20761074224556536,-0.03344564463383213,-0.2952547001216494,-0.37788727878117506,-0.07287458921028414,-0.24716516162772212,-0.33459476795120013,-0.07394795870144497
WF2,OUTWARD,0.2,2,3,19571,0.0,0.0,0.0,0.19444444444444442,0.2394359000562056,0.21715803995707936,-0.02227786009912626,-0.2875637266311649,-0.3440430572479367,-0.04780667430679458,-0.2268422877771712,-0.317973299839398,-0.05988952886231583
WF3,OUTWARD,0.2,2,3,19778,0.0,0.05917336066423351,0.0,0.25,0.23177267671149762,0.20927292951764587,-0.022499747193851755,-0.27869945240944843,-0.2962652486849547,-0.010947210688911826,-0.24016695273808641,-0.26218268862838395,-0.013274015882631926
WF1,OUTWARD,0.4,2,3,18201,0.0,0.05681818181818181,0.0,0.23809523809523808,0.2640514257458381,0.21938355035437612,-0.044667875391462004,-0.24288593223149857,-0.33780297856156016,-0.08316126791636698,-0.20191085305403056,-0.2978434264465676,-0.08020528334963851
WF2,OUTWARD,0.4,2,3,17408,0.0,0.0,0.0,0.20833333333333331,0.26281020220588236,0.2299517463235294,-0.03285845588235294,-0.26331630691180696,-0.3150708339908935,-0.03991621451946703,-0.20721913859726257,-0.28834515167288854,-0.045934620736248766
WF3,OUTWARD,0.4,2,3,17400,0.0,0.06493506493506496,0.0,0.22508259030559596,0.25982758620689655,0.22545977011494253,-0.03436781609195402,-0.2139368930971404,-0.25326433465948306,-0.03057229557355896,-0.17714627318846088,-0.22758073838863702,-0.04104714659434711
WF1,OUTWARD,0.8,2,3,12101,0.0,0.14286337082569478,-0.11904761904761907,0.3928571428571429,0.3294769027353111,0.2648541442855962,-0.06462275844971489,-0.16263573092714861,-0.24881264784704785,-0.0647435851776946,-0.1418493439364609,-0.2300127822700025,-0.06626425926149555
WF2,OUTWARD,0.8,2,3,11180,0.0,0.08333333333333304,-0.101010101010101,0.3236842105263158,0.3434704830053667,0.2757602862254025,-0.06771019677996422,-0.11187333986759554,-0.2149647118121708,-0.09266192447496112,-0.08782213462742144,-0.19492912601941792,-0.09528461379394029
WF3,OUTWARD,0.8,2,3,11095,0.0,0.10752688172043012,-0.13289772585436488,0.4307692307692307,0.3342045966651645,0.2719242902208202,-0.0622803064443443,-0.10525137152683064,-0.15789249092740212,-0.03878739859927919,-0.09121353140620901,-0.14550135872928185,-0.0394433455740454
WF1,OUTWARD,1.2,2,3,6820,0.0,0.20408163265306123,-0.19999999999999998,0.4228758169934643,0.3973607038123167,0.30791788856304986,-0.08944281524926687,-0.0965543173473166,-0.19851960942814076,-0.0763329738820944,-0.09168731106537094,-0.18910107337596263,-0.07164919402262675
WF2,OUTWARD,1.2,2,3,6712,0.0,0.1470588235294117,-0.15625,0.3241076175286701,0.3867699642431466,0.31421334922526817,-0.07255661501787843,-0.11395123476191964,-0.1841158019039248,-0.057126868098739354,-0.08654610802593345,-0.17295739302979943,-0.07222228809586785
WF3,OUTWARD,1.2,2,3,6224,0.0,0.1918151080926802,-0.22683956511053077,0.4,0.38544344473007713,0.3208547557840617,-0.06458868894601542,-0.08661766663012033,-0.09045901223236326,0.017277819147175563,-0.07451280405447433,-0.0817786220342149,0.013887372626244789
WF1,INWARD,0.2,2,3,21032,0.0,0.0,0.0,0.1164286389860969,0.18357740585774057,0.1628470901483454,-0.02073031570939521,-0.3214025659285603,-0.3545590515749907,-0.021884926480892807,-0.30375010400780905,-0.32967505921962137,-0.013984784674025044
WF2,INWARD,0.2,2,3,20839,0.0,0.0,0.0,0.23469818488813843,0.17702384951293249,0.15739718796487356,-0.019626661548058928,-0.3359359538138919,-0.368721918135864,-0.028484448036861464,-0.3159671753698693,-0.359243559790486,-0.03914758532435643
WF3,INWARD,0.2,2,3,20476,0.0,0.0,0.0,0.04999999999999999,0.1718109005665169,0.16414338738034773,-0.007667513186169174,-0.301497870210601,-0.32512143704238794,-0.016266117570911936,-0.2755289887281238,-0.31094344913248445,-0.014949435520518571
WF1,INWARD,0.4,2,3,19346,0.0,0.0,0.0,0.10000000000000009,0.1983872635170061,0.17006099452083118,-0.02832626899617492,-0.27243403250679626,-0.3289873679262725,-0.04181935490438854,-0.2557815412286266,-0.3023770075506037,-0.03101788740661938
WF2,INWARD,0.4,2,3,18867,0.0,0.0,0.0,0.16666666666666666,0.1948905496369322,0.17135739651242912,-0.0235331531245031,-0.2715950834412862,-0.31374566532343806,-0.0352334151549734,-0.25428397995688584,-0.3038918833960362,-0.042706215814402385
WF3,INWARD,0.4,2,3,18517,0.0,0.0,0.0,0.10769230769230731,0.1891775125560296,0.17589242317870066,-0.01328508937732894,-0.2551874957448566,-0.2976808158589483,-0.028843839381372256,-0.22701033827444708,-0.2862686651170741,-0.03108936424343196
WF1,INWARD,0.8,2,3,13521,0.0,0.0,0.0,0.1428571428571428,0.25441905184527774,0.2167739072553805,-0.0376451445898972,-0.13755375592818664,-0.23626077932811107,-0.07951642771178918,-0.1268470981549303,-0.23221479730305092,-0.08618843029496455
WF2,INWARD,0.8,2,3,12989,0.0,0.0,-0.065359477124183,0.18956521739130427,0.24520748325506198,0.20486565555470013,-0.04034182770036184,-0.17602363566819088,-0.25432200535948174,-0.06865760640177254,-0.1670730786991485,-0.24634834714248874,-0.06953227371203255
WF3,INWARD,0.8,2,3,12424,0.0,0.0,-0.08196721311475419,0.14425179631365204,0.24001931745009658,0.2168383773341919,-0.0231809401159047,-0.14225416422744844,-0.1902368136001698,-0.03121692028733753,-0.13338955175198738,-0.17753856205229424,-0.026946744519908514
