字段,数据类型,类别数量,历史编码方式,编码参数是否只在训练段拟合,未知类别处理方式,是否可直接复用,说明,是否属于62维
source_tf,object,3,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失由 prepare_X 填为 __MISSING__,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
source_ob_structure,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失由 prepare_X 填为 __MISSING__,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
touch_behavior,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失由 prepare_X 填为 __MISSING__,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
forward_active_ob_structure_class_5m,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失已由数据契约填为 NO_OB,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
forward_active_ob_structure_class_15m,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失已由数据契约填为 NO_OB,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
forward_active_ob_structure_class_1h,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失已由数据契约填为 NO_OB,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
backward_active_ob_structure_class_5m,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失已由数据契约填为 NO_OB,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
backward_active_ob_structure_class_15m,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失已由数据契约填为 NO_OB,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
backward_active_ob_structure_class_1h,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失已由数据契约填为 NO_OB,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
momentum_direction_5m,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失由 prepare_X 填为 __MISSING__,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
momentum_direction_15m,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失由 prepare_X 填为 __MISSING__,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
momentum_direction_1h,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失由 prepare_X 填为 __MISSING__,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
quant_state,object,4,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失/超期保留为 UNKNOWN，不填充不重排,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
trade_mode,object,2,CatBoost 原生类别：字符串原值 + cat_features 索引（explore_ob_q_relationship_v1.py::prepare_X）,是（CatBoost 类别词表在 fit 时建立）,缺失由 prepare_X 填为 __MISSING__,否,CatBoost 原生类别无法被 MLP 直接消费；需单独制定 one-hot 编码合同，词表只在训练段冻结，并显式保留 UNKNOWN 层,是
