最终字段,底层输入字段,来源模块,决策时点是否可知,训练参考区间,是否仅使用过去数据,是否存在未来数据风险,证据,结论
quant_state,分位模型,research/quantile_opportunity_contiguous.py::quantile_state_contiguous_oos（模型来自 fit_quantile_v2_models.py::make_model）,是,每个 fold 的 train 区间,是,无,quantile_opportunity_contiguous.py::quantile_state_contiguous_oos 逐 fold 训练并只预测 test 段；模型只在 train 区间 fit,通过
quant_width_percentile_train,分位模型,research/quantile_opportunity_contiguous.py::quantile_state_contiguous_oos（模型来自 fit_quantile_v2_models.py::make_model）,是,每个 fold 的 train 区间,是,无,quantile_opportunity_contiguous.py::quantile_state_contiguous_oos 逐 fold 训练并只预测 test 段；模型只在 train 区间 fit,通过
quant_state,训练目标变量,research/build_pytdx_panel.py::build_targets（HORIZON=4 的未来 15m 收益）,不适用（仅用于训练分位模型，不进入 62 维）,每个 fold 的 train 区间,是,无,目标只参与分位模型的训练，62 维中不含 actual_return 列,通过
quant_width_percentile_train,训练目标变量,research/build_pytdx_panel.py::build_targets（HORIZON=4 的未来 15m 收益）,不适用（仅用于训练分位模型，不进入 62 维）,每个 fold 的 train 区间,是,无,目标只参与分位模型的训练，62 维中不含 actual_return 列,通过
quant_state,分位参考分布,width_percentile_train,是,当前 fold 的 train 预测宽度排序,是,无,"代码：ref = np.sort(train_width[good]); percentile[te] = searchsorted(ref, test_width)；注释明确 never a global rank over the OOS set",通过
quant_width_percentile_train,分位参考分布,width_percentile_train,是,当前 fold 的 train 预测宽度排序,是,无,"代码：ref = np.sort(train_width[good]); percentile[te] = searchsorted(ref, test_width)；注释明确 never a global rank over the OOS set",通过
quant_state,PIT 拼接,research/quantile_opportunity_contiguous.py::attach_quantile_state,是,每个 fold 的 train 区间,是,无,"pos = searchsorted(state_t, cand_t, side='right')-1 取不晚于触碰的状态；且要求 decision <= trigger < valid_until(15min)，否则置 NaN",通过
quant_width_percentile_train,PIT 拼接,research/quantile_opportunity_contiguous.py::attach_quantile_state,是,每个 fold 的 train 区间,是,无,"pos = searchsorted(state_t, cand_t, side='right')-1 取不晚于触碰的状态；且要求 decision <= trigger < valid_until(15min)，否则置 NaN",通过
quant_state,全样本回填检查,quant_width_percentile_train,是,每个 fold 的 train 区间,是,无,percentile 按 fold 逐段写入，不存在全样本排序后回填,通过
quant_width_percentile_train,全样本回填检查,quant_width_percentile_train,是,每个 fold 的 train 区间,是,无,percentile 按 fold 逐段写入，不存在全样本排序后回填,通过
quant_state,feat_15m_ret_1,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_1 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_15m_ret_1,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_1 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_15m_ret_4,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_4 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_15m_ret_4,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_4 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_15m_ret_8,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_8 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_15m_ret_8,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_8 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_15m_ret_16,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_16 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_15m_ret_16,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_ret_16 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_15m_location_32,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_location_32 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_15m_location_32,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_15m_location_32 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_time_bars_since_segment_start,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_time_bars_since_segment_start 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_time_bars_since_segment_start,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_time_bars_since_segment_start 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_time_after_long_gap,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_time_after_long_gap 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_time_after_long_gap,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_time_after_long_gap 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_5m_1h_rv,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_5m_1h_rv 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_5m_1h_rv,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_5m_1h_rv 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_state,feat_5m_rv_rate_ratio_1h_4h,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_5m_rv_rate_ratio_1h_4h 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
quant_width_percentile_train,feat_5m_rv_rate_ratio_1h_4h,research/build_pytdx_panel.py::build_features（经 aggregate_15m 生成的 15m/5m 面板）,是,每个 fold 的 train 区间,是,无,feat_5m_rv_rate_ratio_1h_4h 为历史窗口回看统计量（收益/位置/已实现波动率/会话时钟），在决策时点由已收盘 K 线计算；向前移位扫描: build_pytdx_panel.py=NO_FORWARD_SHIFT_FOUND; run_quantile_rebaseline.py=NO_FORWARD_SHIFT_FOUND; fit_quantile_v2_models.py=NO_FORWARD_SHIFT_FOUND; quantile_opportunity_contiguous.py=NO_FORWARD_SHIFT_FOUND,通过
