datetime,datetime_ns,symbol,timeframe,open,high,low,close,volume,open_oi,close_oi
2025-05-08 23:30:00,1746718200000000000,KQ.m@SHFE.al,15m,19600.0,19615.0,19595.0,19610.0,1790.0,192125.0,191847.0
2025-05-08 23:45:00,1746719100000000000,KQ.m@SHFE.al,15m,19610.0,19610.0,19590.0,19605.0,1679.0,191847.0,191821.0
2025-05-09 00:00:00,1746720000000000000,KQ.m@SHFE.al,15m,19605.0,19610.0,19585.0,19585.0,962.0,191821.0,191689.0
2025-05-09 00:15:00,1746720900000000000,KQ.m@SHFE.al,15m,19585.0,19590.0,19575.0,19585.0,783.0,191689.0,191578.0
2025-05-09 00:30:00,1746721800000000000,KQ.m@SHFE.al,15m,19585.0,19595.0,19580.0,19585.0,673.0,191578.0,191405.0
2025-05-09 00:45:00,1746722700000000000,KQ.m@SHFE.al,15m,19585.0,19590.0,19570.0,19570.0,1868.0,191405.0,191247.0
2025-05-09 09:00:00,1746752400000000000,KQ.m@SHFE.al,15m,19605.0,19645.0,19590.0,19595.0,11619.0,191247.0,189748.0
2025-05-09 09:15:00,1746753300000000000,KQ.m@SHFE.al,15m,19595.0,19605.0,19575.0,19585.0,3943.0,189748.0,189496.0
2025-05-09 09:30:00,1746754200000000000,KQ.m@SHFE.al,15m,19585.0,19615.0,19580.0,19610.0,3622.0,189496.0,189441.0
2025-05-09 09:45:00,1746755100000000000,KQ.m@SHFE.al,15m,19610.0,19615.0,19555.0,19565.0,3735.0,189441.0,189241.0
2025-05-09 10:00:00,1746756000000000000,KQ.m@SHFE.al,15m,19565.0,19575.0,19545.0,19575.0,6421.0,189241.0,188054.0
2025-05-09 10:30:00,1746757800000000000,KQ.m@SHFE.al,15m,19575.0,19595.0,19570.0,19590.0,5855.0,188054.0,186819.0
2025-05-09 10:45:00,1746758700000000000,KQ.m@SHFE.al,15m,19590.0,19595.0,19560.0,19570.0,2477.0,186819.0,186609.0
2025-05-09 11:00:00,1746759600000000000,KQ.m@SHFE.al,15m,19570.0,19595.0,19560.0,19595.0,2066.0,186609.0,186569.0
2025-05-09 11:15:00,1746760500000000000,KQ.m@SHFE.al,15m,19595.0,19600.0,19575.0,19585.0,2257.0,186569.0,186471.0
2025-05-09 13:30:00,1746768600000000000,KQ.m@SHFE.al,15m,19580.0,19615.0,19580.0,19610.0,3604.0,186471.0,186430.0
2025-05-09 13:45:00,1746769500000000000,KQ.m@SHFE.al,15m,19610.0,19625.0,19605.0,19615.0,4992.0,186430.0,185692.0
2025-05-09 14:00:00,1746770400000000000,KQ.m@SHFE.al,15m,19615.0,19625.0,19605.0,19620.0,2328.0,185692.0,185331.0
