symbol,n_trades,target_hit_rate,mean_win_R,mean_loss_R,gross_expectancy_R
AG,98,0.6122,0.754,-1.0133,0.0687
AL,192,0.4792,0.9095,-1.0685,-0.1207
AU,139,0.6691,0.6381,-0.987,0.1003
CF,163,0.4172,0.8692,-1.0093,-0.2195
CU,147,0.5306,0.9101,-1.2161,-0.0879
I,57,0.4737,0.946,-1.1095,-0.1359
M,162,0.5494,1.0283,-1.0,0.1143
MA,168,0.5238,0.8843,-1.0108,-0.0181
NI,139,0.5899,0.73,-1.1321,-0.0336
P,198,0.5909,0.9102,-1.0172,0.1217
RB,248,0.4919,1.012,-1.0253,-0.0231
RU,177,0.5593,1.0115,-1.0264,0.1135
SC,133,0.4887,0.9311,-1.1627,-0.1394
SN,119,0.6807,0.5686,-1.0439,0.0537
TA,178,0.5225,0.7629,-1.0026,-0.0802
